[ T-Cross ]
    title = Angular distribution in region mesh
     mesh =  r-z            # mesh type is r-z scoring mesh
       x0 =   0.000000      # center x-position of r-z mesh
       y0 =   0.000000      # center y-position of r-z mesh
   r-type =    2            # r-mesh is linear given by rmin, rmax and nr
     rmin =   0.000000      # minimum value of r-mesh points
     rmax =   10.00000      # maximum value of r-mesh points
#    rdel =   10.00000      # mesh width of r-mesh points
       nr =      1          # number of r-mesh points
#    data = ( r(i), i = 1, nr + 1 )
#           0.00000E+00  1.00000E+01
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =   0.000000      # minimum value of z-mesh points
     zmax =  0.1000000      # maximum value of z-mesh points
#    zdel =  0.1000000      # mesh width of z-mesh points
       nz =      1          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#           0.00000E+00  1.00000E-01
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =  0.1000000      # minimum value of e-mesh points
     emax =   10.00000      # maximum value of e-mesh points
#    edel =  0.1980000      # mesh width of e-mesh points
       ne =     50          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-01  2.98000E-01  4.96000E-01  6.94000E-01  8.92000E-01
#           1.09000E+00  1.28800E+00  1.48600E+00  1.68400E+00  1.88200E+00
#           2.08000E+00  2.27800E+00  2.47600E+00  2.67400E+00  2.87200E+00
#           3.07000E+00  3.26800E+00  3.46600E+00  3.66400E+00  3.86200E+00
#           4.06000E+00  4.25800E+00  4.45600E+00  4.65400E+00  4.85200E+00
#           5.05000E+00  5.24800E+00  5.44600E+00  5.64400E+00  5.84200E+00
#           6.04000E+00  6.23800E+00  6.43600E+00  6.63400E+00  6.83200E+00
#           7.03000E+00  7.22800E+00  7.42600E+00  7.62400E+00  7.82200E+00
#           8.02000E+00  8.21800E+00  8.41600E+00  8.61400E+00  8.81200E+00
#           9.01000E+00  9.20800E+00  9.40600E+00  9.60400E+00  9.80200E+00
#           1.00000E+01
   a-type =    2            # a-mesh is linear given by amin, amax and na
     amin =  0.1000000      # minimum value of a-mesh points
     amax =   1.000000      # maximum value of a-mesh points
#    adel =  9.0000000E-03  # mesh width of a-mesh points
       na =    100          # number of a-mesh points
#    data = ( a(i), i = 1, na + 1 )
#           1.00000E-01  1.09000E-01  1.18000E-01  1.27000E-01  1.36000E-01
#           1.45000E-01  1.54000E-01  1.63000E-01  1.72000E-01  1.81000E-01
#           1.90000E-01  1.99000E-01  2.08000E-01  2.17000E-01  2.26000E-01
#           2.35000E-01  2.44000E-01  2.53000E-01  2.62000E-01  2.71000E-01
#           2.80000E-01  2.89000E-01  2.98000E-01  3.07000E-01  3.16000E-01
#           3.25000E-01  3.34000E-01  3.43000E-01  3.52000E-01  3.61000E-01
#           3.70000E-01  3.79000E-01  3.88000E-01  3.97000E-01  4.06000E-01
#           4.15000E-01  4.24000E-01  4.33000E-01  4.42000E-01  4.51000E-01
#           4.60000E-01  4.69000E-01  4.78000E-01  4.87000E-01  4.96000E-01
#           5.05000E-01  5.14000E-01  5.23000E-01  5.32000E-01  5.41000E-01
#           5.50000E-01  5.59000E-01  5.68000E-01  5.77000E-01  5.86000E-01
#           5.95000E-01  6.04000E-01  6.13000E-01  6.22000E-01  6.31000E-01
#           6.40000E-01  6.49000E-01  6.58000E-01  6.67000E-01  6.76000E-01
#           6.85000E-01  6.94000E-01  7.03000E-01  7.12000E-01  7.21000E-01
#           7.30000E-01  7.39000E-01  7.48000E-01  7.57000E-01  7.66000E-01
#           7.75000E-01  7.84000E-01  7.93000E-01  8.02000E-01  8.11000E-01
#           8.20000E-01  8.29000E-01  8.38000E-01  8.47000E-01  8.56000E-01
#           8.65000E-01  8.74000E-01  8.83000E-01  8.92000E-01  9.01000E-01
#           9.10000E-01  9.19000E-01  9.28000E-01  9.37000E-01  9.46000E-01
#           9.55000E-01  9.64000E-01  9.73000E-01  9.82000E-01  9.91000E-01
#           1.00000E+00
     unit =    3            # unit is [1/cm^2/Lethargy/source]
     axis =  cos            # axis of output
     file = cross_angle_cos_rz_many.out  # file name of output for the above axis
   output = a-curr         # surface crossing current spectrum with angle
     part =  neutron  
# kf/name :  2112     
   epsout =    2            # (D=0) generate eps file by ANGEL
   stdcut = 5.0000000E-02   # (D=-1) threshold value of STD cutoff
 iangform =    3            # 3-> angle formed from the z-axis
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         158 (  0)           0 (  0)         158 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   iz surf =  1   ir  =  1
#   zmesh =    0.0000E+00
#   r = (   0.0000E+00  -   1.0000E+01  )
#  ie =  1
#   e = (   1.0000E-01  -   2.9800E-01  )

x: cos(\theta)
y:  A-Curr [1/cm^2/Lethargy/source]        
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y1(neutron ),hh0l   ny21 dy1=[y1*y21] 
#  a-lower      a-upper      neutron     r.err 
   1.0000E-01   1.0900E-01   1.6269E+07  0.0332
   1.0900E-01   1.1800E-01   1.6748E+07  0.0327
   1.1800E-01   1.2700E-01   1.6069E+07  0.0334
   1.2700E-01   1.3600E-01   1.5885E+07  0.0336
   1.3600E-01   1.4500E-01   1.6461E+07  0.0330
   1.4500E-01   1.5400E-01   1.8075E+07  0.0315
   1.5400E-01   1.6300E-01   1.7933E+07  0.0316
   1.6300E-01   1.7200E-01   1.8098E+07  0.0315
   1.7200E-01   1.8100E-01   1.8110E+07  0.0315
   1.8100E-01   1.9000E-01   1.8885E+07  0.0308
   1.9000E-01   1.9900E-01   1.8235E+07  0.0314
   1.9900E-01   2.0800E-01   1.9503E+07  0.0303
   2.0800E-01   2.1700E-01   1.9938E+07  0.0300
   2.1700E-01   2.2600E-01   2.1388E+07  0.0290
   2.2600E-01   2.3500E-01   1.9980E+07  0.0300
   2.3500E-01   2.4400E-01   2.1073E+07  0.0292
   2.4400E-01   2.5300E-01   2.2003E+07  0.0286
   2.5300E-01   2.6200E-01   2.1113E+07  0.0292
   2.6200E-01   2.7100E-01   2.3241E+07  0.0278
   2.7100E-01   2.8000E-01   2.3375E+07  0.0277
   2.8000E-01   2.8900E-01   2.3302E+07  0.0278
   2.8900E-01   2.9800E-01   2.4320E+07  0.0272
   2.9800E-01   3.0700E-01   2.4735E+07  0.0269
   3.0700E-01   3.1600E-01   2.5113E+07  0.0267
   3.1600E-01   3.2500E-01   2.5400E+07  0.0266
   3.2500E-01   3.3400E-01   2.5841E+07  0.0264
   3.3400E-01   3.4300E-01   2.5206E+07  0.0267
   3.4300E-01   3.5200E-01   2.5025E+07  0.0268
   3.5200E-01   3.6100E-01   2.5813E+07  0.0264
   3.6100E-01   3.7000E-01   2.6882E+07  0.0258
   3.7000E-01   3.7900E-01   2.7833E+07  0.0254
   3.7900E-01   3.8800E-01   2.8286E+07  0.0252
   3.8800E-01   3.9700E-01   2.8500E+07  0.0251
   3.9700E-01   4.0600E-01   2.9684E+07  0.0246
   4.0600E-01   4.1500E-01   2.8852E+07  0.0250
   4.1500E-01   4.2400E-01   2.9496E+07  0.0247
   4.2400E-01   4.3300E-01   3.0560E+07  0.0242
   4.3300E-01   4.4200E-01   2.9953E+07  0.0245
   4.4200E-01   4.5100E-01   3.1612E+07  0.0238
   4.5100E-01   4.6000E-01   3.0379E+07  0.0243
   4.6000E-01   4.6900E-01   3.2206E+07  0.0236
   4.6900E-01   4.7800E-01   3.2514E+07  0.0235
   4.7800E-01   4.8700E-01   3.2433E+07  0.0235
   4.8700E-01   4.9600E-01   3.4410E+07  0.0229
   4.9600E-01   5.0500E-01   3.4040E+07  0.0230
   5.0500E-01   5.1400E-01   3.4267E+07  0.0229
   5.1400E-01   5.2300E-01   3.3908E+07  0.0230
   5.2300E-01   5.3200E-01   3.5114E+07  0.0226
   5.3200E-01   5.4100E-01   3.6721E+07  0.0221
   5.4100E-01   5.5000E-01   3.6895E+07  0.0221
   5.5000E-01   5.5900E-01   3.7079E+07  0.0220
   5.5900E-01   5.6800E-01   3.8371E+07  0.0216
   5.6800E-01   5.7700E-01   3.7603E+07  0.0219
   5.7700E-01   5.8600E-01   3.8297E+07  0.0217
   5.8600E-01   5.9500E-01   4.0511E+07  0.0211
   5.9500E-01   6.0400E-01   3.8974E+07  0.0215
   6.0400E-01   6.1300E-01   4.0623E+07  0.0210
   6.1300E-01   6.2200E-01   4.0113E+07  0.0212
   6.2200E-01   6.3100E-01   4.0703E+07  0.0210
   6.3100E-01   6.4000E-01   4.3700E+07  0.0203
   6.4000E-01   6.4900E-01   4.4408E+07  0.0201
   6.4900E-01   6.5800E-01   4.2631E+07  0.0205
   6.5800E-01   6.6700E-01   4.4864E+07  0.0200
   6.6700E-01   6.7600E-01   4.4968E+07  0.0200
   6.7600E-01   6.8500E-01   4.6728E+07  0.0196
   6.8500E-01   6.9400E-01   4.8423E+07  0.0193
   6.9400E-01   7.0300E-01   4.8073E+07  0.0193
   7.0300E-01   7.1200E-01   4.8613E+07  0.0192
   7.1200E-01   7.2100E-01   4.8454E+07  0.0193
   7.2100E-01   7.3000E-01   4.9298E+07  0.0191
   7.3000E-01   7.3900E-01   5.1803E+07  0.0186
   7.3900E-01   7.4800E-01   5.1837E+07  0.0186
   7.4800E-01   7.5700E-01   5.3285E+07  0.0184
   7.5700E-01   7.6600E-01   5.3918E+07  0.0183
   7.6600E-01   7.7500E-01   5.4485E+07  0.0182
   7.7500E-01   7.8400E-01   5.7369E+07  0.0177
   7.8400E-01   7.9300E-01   5.5042E+07  0.0181
   7.9300E-01   8.0200E-01   5.6778E+07  0.0178
   8.0200E-01   8.1100E-01   5.7580E+07  0.0177
   8.1100E-01   8.2000E-01   6.0623E+07  0.0172
